train_loss,test_loss
0.7638255128996414,0.20248538011695905
0.5657140340721398,0.18238304093567248
0.49358680101427416,0.17361111111111116
0.4560569733032706,0.1838450292397661
0.41292338859703803,0.17324561403508776
0.36702269690427164,0.18311403508771928
0.33461129151241126,0.20065789473684215
0.30077693404422867,0.19809941520467833
0.26480699865398005,0.20321637426900585
0.2388964587092748,0.189327485380117
0.21383235654766447,0.1834795321637427
0.17906241275762258,0.17726608187134507
0.146473772221991,0.17141812865497075
0.1330859290629255,0.16739766081871343
0.11965055412433126,0.16739766081871343
0.11120936012151515,0.17434210526315785
0.08475435010568723,0.16849415204678364
0.08510354832216432,0.18019005847953218
0.08556769071017495,0.16776315789473684
0.07333427343288795,0.17653508771929827
0.07804906499852585,0.16776315789473684
0.07021136700934104,0.1871345029239766
0.06895685173660974,0.16812865497076024
0.054694290003298146,0.18128654970760238
0.05055193273093257,0.17507309941520466
0.044064367890112206,0.17105263157894735
0.03873121834450949,0.16995614035087714
0.03774363059546779,0.16849415204678364
0.04951110479654404,0.16812865497076024
0.041411587960724666,0.16995614035087714
0.03907348683028351,0.18019005847953218
0.046289767069900026,0.17288011695906436
